can_id,can_nam,spe_id,spe_nam,ele_typ,can_off_sta,can_off_dis,can_off,can_par_aff,exp_amo,exp_dat,agg_amo,sup_opp,pur,pay,file_num,amn_ind,tra_id,ima_num,rec_dat,prev_file_num,dissem_dt
P00003392,"CLINTON, HILLARY RODHAM",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Dem,"$2,100.00",01/02/2016,"$33,300.00",Support,Direct Mail,"WildFire Contact, LLC",1052028,N,F57.4145,201602249009621213,02/24/2016, , 
P00003392,"CLINTON, HILLARY RODHAM",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Dem,"$3,503.64",01/19/2016,"$153,974.02",Support,Direct Mail,"WildFire Contact, LLC",1052035,N,F57.4287,201602249009621256,02/24/2016, , 
P00003392,"CLINTON, HILLARY RODHAM",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Dem,"$205.32",01/05/2016,"$63,183.91",Support,Newspaper Advertisement,Herald Publishing Company,1052030,N,F57.4243,201602249009621232,02/24/2016, , 
P00003392,"CLINTON, HILLARY RODHAM",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Dem,"$158.58",01/05/2016,"$39,720.13",Support,Literature,"WildFire Contact, LLC",1052029,N,F57.4178,201602249009621220,02/24/2016, , 
P00003392,"CLINTON, HILLARY RODHAM",C90011172,AMERICAN FEDERATION OF STATE COUNTY AND MUNICIPAL EMPLOYEES AFL-CIO,P,IA,00,P,Dem,"$65.34",01/29/2016,"$97,822.72",Support,T-SHIRTS,AMERICAN UNIONS EMBROIDERY AND SCREEN,1047906,N,F57.000004,201602039008436994,02/03/2016, , 
P00003392,"CLINTON, HILLARY RODHAM",C90011172,AMERICAN FEDERATION OF STATE COUNTY AND MUNICIPAL EMPLOYEES AFL-CIO,P,NH,00,P,Dem,"$1,310.00",02/03/2016,"$97,822.72",Support,PLACARD,GARNER PRINTING,1047906,N,F57.000005,201602039008436994,02/03/2016, , 
P00003392,"CLINTON, HILLARY RODHAM",C90011172,AMERICAN FEDERATION OF STATE COUNTY AND MUNICIPAL EMPLOYEES AFL-CIO,P,IA,00,P,Dem,"$4,223.40",01/11/2016,"$97,822.72",Support,PINS,AMERICAN UNIONS EMBROIDERY AND SCREEN,1047906,N,F57.000002,201602039008436993,02/03/2016, , 
P00003392,"CLINTON, HILLARY RODHAM",C90011172,AMERICAN FEDERATION OF STATE COUNTY AND MUNICIPAL EMPLOYEES AFL-CIO,P,IA,00,P,Dem,"$776.37",12/16/2015,"$79,999.21",Support,T-SHIRTS,AMERICAN UNIONS EMBROIDERY AND SCREEN PRINTING INC.,1036594,N,F57.000001,201512189004313249,12/18/2015, , 
P00003392,"CLINTON, HILLARY RODHAM",C90011172,AMERICAN FEDERATION OF STATE COUNTY AND MUNICIPAL EMPLOYEES AFL-CIO,P,IA,00,P,Dem,"$408.10",01/09/2016,"$97,822.72",Support,BANNERS,GARNER PRINTING,1047906,N,F57.000001,201602039008436993,02/03/2016, , 
P00003392,"CLINTON, HILLARY RODHAM",C90011172,AMERICAN FEDERATION OF STATE COUNTY AND MUNICIPAL EMPLOYEES AFL-CIO,P,IA,00,P,Dem,"$461.27",01/15/2016,"$97,822.72",Support,T-SHIRTS,AMERICAN UNIONS EMBROIDERY AND SCREEN PRINTING INC.,1047906,N,F57.000003,201602039008436993,02/03/2016, , 
